Üniversite Adı,Ders Adı,Ders Tanımı,Üniversite Adı_lemmatized,Üniversite Adı_stemmed,Ders Adı_lemmatized,Ders Adı_stemmed,Ders Tanımı_lemmatized,Ders Tanımı_stemmed
Yıldız Teknik Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",yıldız teknik üniversite,yıldız teknik üniversites,veri bili,ver bil,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Marmara Üniversitesi,Yapay Zeka,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",Marmara üniversite,marmar üniversites,yapay zekâ,yapay zeka,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
Boğaziçi Üniversitesi,İçerik Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Boğaziçi üniversite,boğaziç üniversites,Unk Yönet sistem,i̇çerik yönet sistem,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Ankara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",Ankara üniversite,ankar üniversites,veri taba Yönet sistem,ver taba yönet sistem,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",orta doğu teknik üniversite,or dok teknik üniversites,maki,mak,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Hacettepe üniversite,hacettep üniversites,dijital oymak programlamak,dijital oy programla,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Boğaziçi Üniversitesi,Veri Bilimi,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Boğaziçi üniversite,boğaziç üniversites,veri bili,ver bil,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",dokuz eylül üniversite,dok eylül üniversites,nesne taban programlamak,nesne tabanlı programla,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Sabancı Üniversitesi,İçerik Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,saban üniversite,sabancı üniversites,Unk Yönet sistem,i̇çerik yönet sistem,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
İstanbul Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",Unk üniversite,i̇stanbul üniversites,veri taba Yönet sistem,ver taba yönet sistem,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
İstanbul Teknik Üniversitesi,Programlama Dilleri,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",Unk teknik üniversite,i̇stanbul teknik üniversites,programlamak dil,programla dil,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Marmara Üniversitesi,Programlama Dilleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Marmara üniversite,marmar üniversites,programlamak dil,programla dil,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Ankara Üniversitesi,Sistem Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",Ankara üniversite,ankar üniversites,sistem programlamak,siste programla,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
İstanbul Üniversitesi,Nesne Tabanlı Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Unk üniversite,i̇stanbul üniversites,nesne taban programlamak,nesne tabanlı programla,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
İstanbul Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",Unk üniversite,i̇stanbul üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Ankara Üniversitesi,Nesne Tabanlı Programlama,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",Ankara üniversite,ankar üniversites,nesne taban programlamak,nesne tabanlı programla,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Sabancı Üniversitesi,Bilgisayar Ağları,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",saban üniversite,sabancı üniversites,bilgisayar ağ,bilgisayar ak,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Marmara Üniversitesi,Veritabanı Sistemleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",Marmara üniversite,marmar üniversites,veritabanı sistem,veritaba sistem,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Ankara Üniversitesi,Dijital Oyun Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",Ankara üniversite,ankar üniversites,dijital oymak programlamak,dijital oy programla,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Yıldız Teknik Üniversitesi,Programlama Dilleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",yıldız teknik üniversite,yıldız teknik üniversites,programlamak dil,programla dil,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Marmara Üniversitesi,Bilgisayar Ağları,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",Marmara üniversite,marmar üniversites,bilgisayar ağ,bilgisayar ak,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",Boğaziçi üniversite,boğaziç üniversites,veri taba Yönet sistem,ver taba yönet sistem,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",orta doğu teknik üniversite,or dok teknik üniversites,programlamak dil,programla dil,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Marmara Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Marmara üniversite,marmar üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",yıldız teknik üniversite,yıldız teknik üniversites,veri taba Yönet sistem,ver taba yönet sistem,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Dokuz Eylül Üniversitesi,Veritabanı Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",dokuz eylül üniversite,dok eylül üniversites,veritabanı sistem,veritaba sistem,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Hacettepe Üniversitesi,İçerik Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",Hacettepe üniversite,hacettep üniversites,Unk Yönet sistem,i̇çerik yönet sistem,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
İstanbul Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",Unk üniversite,i̇stanbul üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Sabancı Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",saban üniversite,sabancı üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Boğaziçi üniversite,boğaziç üniversites,maki,mak,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Dokuz Eylül Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",dokuz eylül üniversite,dok eylül üniversites,veri taba Yönet sistem,ver taba yönet sistem,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Marmara Üniversitesi,Veri Madenciliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",Marmara üniversite,marmar üniversites,veri maden,ver madencilik,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Dokuz Eylül Üniversitesi,Dijital Oyun Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",dokuz eylül üniversite,dok eylül üniversites,dijital oymak programlamak,dijital oy programla,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",saban üniversite,sabancı üniversites,nesne taban programlamak,nesne tabanlı programla,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Yıldız Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",yıldız teknik üniversite,yıldız teknik üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
İstanbul Üniversitesi,Siber Güvenlik,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",Unk üniversite,i̇stanbul üniversites,siber Güvenlik,siber güvenlik,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
İstanbul Üniversitesi,Veri Madenciliği,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Unk üniversite,i̇stanbul üniversites,veri maden,ver madencilik,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Boğaziçi Üniversitesi,Nesne Tabanlı Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Boğaziçi üniversite,boğaziç üniversites,nesne taban programlamak,nesne tabanlı programla,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Ankara Üniversitesi,Veri Bilimi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",Ankara üniversite,ankar üniversites,veri bili,ver bil,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Hacettepe Üniversitesi,Mobil Uygulama Geliştirme,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",Hacettepe üniversite,hacettep üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
Dokuz Eylül Üniversitesi,Mobil Uygulama Geliştirme,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",dokuz eylül üniversite,dok eylül üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
İstanbul Üniversitesi,Yapay Zeka,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",Unk üniversite,i̇stanbul üniversites,yapay zekâ,yapay zeka,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Boğaziçi Üniversitesi,Veritabanı Sistemleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",Boğaziçi üniversite,boğaziç üniversites,veritabanı sistem,veritaba sistem,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Orta Doğu Teknik Üniversitesi,Yapay Zeka,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",orta doğu teknik üniversite,or dok teknik üniversites,yapay zekâ,yapay zeka,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
İstanbul Üniversitesi,Nesne Tabanlı Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Unk üniversite,i̇stanbul üniversites,nesne taban programlamak,nesne tabanlı programla,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
