Üniversite Adı,Ders Adı,Ders Tanımı,lemmatized_text
Sabancı Üniversitesi,Kriptografi ve Veri Güvenliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Dokuz Eylül Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
İstanbul Teknik Üniversitesi,Sistem Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Sabancı Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Koç Üniversitesi,Sistem Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem
Marmara Üniversitesi,Kriptografi ve Veri Güvenliği,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Dokuz Eylül Üniversitesi,Dijital Oyun Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Boğaziçi Üniversitesi,Mobil Uygulama Geliştirme,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Hacettepe Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
İstanbul Teknik Üniversitesi,Veri Madenciliği,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Hacettepe Üniversitesi,Siber Güvenlik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem
Yıldız Teknik Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Marmara Üniversitesi,İnternet Programcılığı,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Yıldız Teknik Üniversitesi,Web Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Koç Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
İstanbul Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Marmara Üniversitesi,Programlama Dilleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Sabancı Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Marmara Üniversitesi,Sistem Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
İstanbul Üniversitesi,Veri Bilimi,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Ankara Üniversitesi,Veri Bilimi,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
Boğaziçi Üniversitesi,Veri Madenciliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Dokuz Eylül Üniversitesi,Kriptografi ve Veri Güvenliği,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Yıldız Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Marmara Üniversitesi,Mobil Uygulama Geliştirme,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Koç Üniversitesi,Siber Güvenlik,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Yıldız Teknik Üniversitesi,Yapay Zeka,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Hacettepe Üniversitesi,Bilgisayar Ağları,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Hacettepe Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Hacettepe Üniversitesi,Web Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
Koç Üniversitesi,Genel Matematik,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Hacettepe Üniversitesi,Veri Bilimi,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Koç Üniversitesi,Kriptografi ve Veri Güvenliği,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Orta Doğu Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Marmara Üniversitesi,Sistem Programlama,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
Yıldız Teknik Üniversitesi,Web Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Hacettepe Üniversitesi,İnternet Programcılığı,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
Yıldız Teknik Üniversitesi,Web Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Hacettepe Üniversitesi,İçerik Yönetim Sistemleri,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Boğaziçi Üniversitesi,Genel Matematik,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Sabancı Üniversitesi,Makine Ãğrenmesi,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Sabancı Üniversitesi,Kriptografi ve Veri Güvenliği,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Yıldız Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Boğaziçi Üniversitesi,Veri Madenciliği,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Orta Doğu Teknik Üniversitesi,Web Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Hacettepe Üniversitesi,Sistem Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Boğaziçi Üniversitesi,Veri Madenciliği,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Yıldız Teknik Üniversitesi,İnternet Programcılığı,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Yıldız Teknik Üniversitesi,İnternet Programcılığı,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Sabancı Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Marmara Üniversitesi,Sistem Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Orta Doğu Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Yıldız Teknik Üniversitesi,Veri Bilimi,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Marmara Üniversitesi,Veri Madenciliği,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Ankara Üniversitesi,Dijital Oyun Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Marmara Üniversitesi,Veri Bilimi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Dokuz Eylül Üniversitesi,Veri Madenciliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
Dokuz Eylül Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Boğaziçi Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Boğaziçi Üniversitesi,Genel Matematik,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Ankara Üniversitesi,Genel Matematik,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Yıldız Teknik Üniversitesi,Veri Madenciliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Dokuz Eylül Üniversitesi,İçerik Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Hacettepe Üniversitesi,Veritabanı Sistemleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Hacettepe Üniversitesi,Web Programlama,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
